year,winner,loser,winner_wins,loser_wins
1905,New York Giants,Philadelphia Athletics,4,1
1906,Chicago White Sox,Chicago Cubs,4,2
1907,Chicago Cubs,Detroit Tigers,4,0
1908,Chicago Cubs,Detroit Tigers,4,1
1909,Pittsburgh Pirates,Detroit Tigers,4,3
1910,Philadelphia Athletics,Chicago Cubs,4,1
1911,Philadelphia Athletics,New York Giants,4,2
1912,Boston Red Sox,New York Giants,4,3
1913,Philadelphia Athletics,New York Giants,4,1
1914,Boston Braves,Philadelphia Athletics,4,0
1915,Boston Red Sox,Philadelphia Phillies,4,1
1916,Boston Red Sox,Brooklyn Robins,4,1
1917,Chicago White Sox,New York Giants,4,2
1918,Boston Red Sox,Chicago Cubs,4,2
1922,New York Giants,New York Yankees,4,0
1923,New York Yankees,New York Giants,4,2
1924,Washington Senators,New York Giants,4,3
1925,Pittsburgh Pirates,Washington Senators,4,3
1926,St. Louis Cardinals,New York Yankees,4,3
1927,New York Yankees,Pittsburgh Pirates,4,0
1928,New York Yankees,St. Louis Cardinals,4,0
1929,Philadelphia Athletics,Chicago Cubs,4,1
1930,Philadelphia Athletics,St. Louis Cardinals,4,2
1931,St. Louis Cardinals,Philadelphia Athletics,4,3
1932,New York Yankees,Chicago Cubs,4,0
1933,New York Giants,Washington Senators,4,1
1934,St. Louis Cardinals,Detroit Tigers,4,3
1935,Detroit Tigers,Chicago Cubs,4,2
1936,New York Yankees,New York Giants,4,2
1937,New York Yankees,New York Giants,4,1
1938,New York Yankees,Chicago Cubs,4,0
1939,New York Yankees,Cincinnati Reds,4,0
1940,Cincinnati Reds,Detroit Tigers,4,3
1941,New York Yankees,Brooklyn Dodgers,4,1
1942,St. Louis Cardinals,New York Yankees,4,1
1943,New York Yankees,St. Louis Cardinals,4,1
1944,St. Louis Cardinals,St. Louis Browns,4,2
1945,Detroit Tigers,Chicago Cubs,4,3
1946,St. Louis Cardinals,Boston Red Sox,4,3
1947,New York Yankees,Brooklyn Dodgers,4,3
1948,Cleveland Indians,Boston Braves,4,2
1949,New York Yankees,Brooklyn Dodgers,4,1
1950,New York Yankees,Philadelphia Phillies,4,0
1951,New York Yankees,New York Giants,4,2
